g1821013@R73H:~/work/HDL/lec3/ex3/ex3-1$ iverilog *.v
g1821013@R73H:~/work/HDL/lec3/ex3/ex3-1$ ./a.out
VCD info: dumpfile buzzer.vcd opened for output.
                   0 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=xx led1=x led2=x
                   5 clk=1 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                  10 clk=0 sw1=1 sw2=0 sw3=0 next_st=01 st=00 led1=0 led2=0
                  15 clk=1 sw1=1 sw2=0 sw3=0 next_st=01 st=01 led1=1 led2=0
                  20 clk=0 sw1=0 sw2=0 sw3=0 next_st=01 st=01 led1=1 led2=0
                  25 clk=1 sw1=0 sw2=0 sw3=0 next_st=01 st=01 led1=1 led2=0
                  30 clk=0 sw1=0 sw2=0 sw3=0 next_st=01 st=01 led1=1 led2=0
                  35 clk=1 sw1=0 sw2=0 sw3=0 next_st=01 st=01 led1=1 led2=0
                  40 clk=0 sw1=0 sw2=0 sw3=0 next_st=01 st=01 led1=1 led2=0
                  45 clk=1 sw1=0 sw2=0 sw3=0 next_st=01 st=01 led1=1 led2=0
                  50 clk=0 sw1=1 sw2=0 sw3=0 next_st=01 st=01 led1=1 led2=0
                  55 clk=1 sw1=1 sw2=0 sw3=0 next_st=01 st=01 led1=1 led2=0
                  60 clk=0 sw1=0 sw2=0 sw3=0 next_st=01 st=01 led1=1 led2=0
                  65 clk=1 sw1=0 sw2=0 sw3=0 next_st=01 st=01 led1=1 led2=0
                  70 clk=0 sw1=0 sw2=0 sw3=0 next_st=01 st=01 led1=1 led2=0
                  75 clk=1 sw1=0 sw2=0 sw3=0 next_st=01 st=01 led1=1 led2=0
                  80 clk=0 sw1=0 sw2=1 sw3=0 next_st=01 st=01 led1=1 led2=0
                  85 clk=1 sw1=0 sw2=1 sw3=0 next_st=01 st=01 led1=1 led2=0
                  90 clk=0 sw1=0 sw2=0 sw3=0 next_st=01 st=01 led1=1 led2=0
                  95 clk=1 sw1=0 sw2=0 sw3=0 next_st=01 st=01 led1=1 led2=0
                 100 clk=0 sw1=0 sw2=0 sw3=0 next_st=01 st=01 led1=1 led2=0
                 105 clk=1 sw1=0 sw2=0 sw3=0 next_st=01 st=01 led1=1 led2=0
                 110 clk=0 sw1=0 sw2=0 sw3=1 next_st=00 st=01 led1=1 led2=0
                 115 clk=1 sw1=0 sw2=0 sw3=1 next_st=00 st=00 led1=0 led2=0
                 120 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 125 clk=1 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 130 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 135 clk=1 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 140 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 145 clk=1 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 150 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 155 clk=1 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 160 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 165 clk=1 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 170 clk=0 sw1=0 sw2=1 sw3=0 next_st=10 st=00 led1=0 led2=0
                 175 clk=1 sw1=0 sw2=1 sw3=0 next_st=10 st=10 led1=0 led2=1
                 180 clk=0 sw1=0 sw2=0 sw3=0 next_st=10 st=10 led1=0 led2=1
                 185 clk=1 sw1=0 sw2=0 sw3=0 next_st=10 st=10 led1=0 led2=1
                 190 clk=0 sw1=0 sw2=0 sw3=0 next_st=10 st=10 led1=0 led2=1
                 195 clk=1 sw1=0 sw2=0 sw3=0 next_st=10 st=10 led1=0 led2=1
                 200 clk=0 sw1=0 sw2=0 sw3=0 next_st=10 st=10 led1=0 led2=1
                 205 clk=1 sw1=0 sw2=0 sw3=0 next_st=10 st=10 led1=0 led2=1
                 210 clk=0 sw1=0 sw2=0 sw3=0 next_st=10 st=10 led1=0 led2=1
                 215 clk=1 sw1=0 sw2=0 sw3=0 next_st=10 st=10 led1=0 led2=1
                 220 clk=0 sw1=0 sw2=0 sw3=0 next_st=10 st=10 led1=0 led2=1
                 225 clk=1 sw1=0 sw2=0 sw3=0 next_st=10 st=10 led1=0 led2=1
                 230 clk=0 sw1=1 sw2=0 sw3=0 next_st=10 st=10 led1=0 led2=1
                 235 clk=1 sw1=1 sw2=0 sw3=0 next_st=10 st=10 led1=0 led2=1
                 240 clk=0 sw1=0 sw2=0 sw3=0 next_st=10 st=10 led1=0 led2=1
                 245 clk=1 sw1=0 sw2=0 sw3=0 next_st=10 st=10 led1=0 led2=1
                 250 clk=0 sw1=0 sw2=0 sw3=0 next_st=10 st=10 led1=0 led2=1
                 255 clk=1 sw1=0 sw2=0 sw3=0 next_st=10 st=10 led1=0 led2=1
                 260 clk=0 sw1=0 sw2=0 sw3=1 next_st=00 st=10 led1=0 led2=1
                 265 clk=1 sw1=0 sw2=0 sw3=1 next_st=00 st=00 led1=0 led2=0
                 270 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 275 clk=1 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 280 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 285 clk=1 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 290 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 295 clk=1 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 300 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 305 clk=1 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 310 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 315 clk=1 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 320 clk=0 sw1=1 sw2=1 sw3=0 next_st=00 st=00 led1=0 led2=0
                 325 clk=1 sw1=1 sw2=1 sw3=0 next_st=00 st=00 led1=0 led2=0
                 330 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 335 clk=1 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 340 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 345 clk=1 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 350 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 355 clk=1 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 360 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 365 clk=1 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 370 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 375 clk=1 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0
                 380 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=00 led1=0 led2=0

