g1821013@R73H:~/work/HDL/lec3/ex3/ex3-2$ iverilog *.v
g1821013@R73H:~/work/HDL/lec3/ex3/ex3-2$ ./a.out
VCD info: dumpfile stopwatch.vcd opened for output.
                   0 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=xx cnt=  x dsp=  x
                   5 clk=1 sw1=0 sw2=0 sw3=0 next_st=00 st=00 cnt=  x dsp=  x
                  10 clk=0 sw1=1 sw2=0 sw3=0 next_st=01 st=00 cnt=  x dsp=  x
                  15 clk=1 sw1=1 sw2=0 sw3=0 next_st=01 st=01 cnt=  0 dsp=  0
                  20 clk=0 sw1=1 sw2=0 sw3=0 next_st=01 st=01 cnt=  0 dsp=  0
                  25 clk=1 sw1=1 sw2=0 sw3=0 next_st=01 st=01 cnt=  1 dsp=  0
                  30 clk=0 sw1=0 sw2=0 sw3=0 next_st=01 st=01 cnt=  1 dsp=  0
                  35 clk=1 sw1=0 sw2=0 sw3=0 next_st=01 st=01 cnt=  2 dsp=  0
                  40 clk=0 sw1=0 sw2=0 sw3=0 next_st=01 st=01 cnt=  2 dsp=  0
                  45 clk=1 sw1=0 sw2=0 sw3=0 next_st=01 st=01 cnt=  3 dsp=  0
                  50 clk=0 sw1=0 sw2=0 sw3=0 next_st=01 st=01 cnt=  3 dsp=  0
                  55 clk=1 sw1=0 sw2=0 sw3=0 next_st=01 st=01 cnt=  4 dsp=  0
                  60 clk=0 sw1=0 sw2=0 sw3=0 next_st=01 st=01 cnt=  4 dsp=  0
                  65 clk=1 sw1=0 sw2=0 sw3=0 next_st=01 st=01 cnt=  5 dsp=  0
                  70 clk=0 sw1=0 sw2=0 sw3=0 next_st=01 st=01 cnt=  5 dsp=  0
                  75 clk=1 sw1=0 sw2=0 sw3=0 next_st=01 st=01 cnt=  6 dsp=  0
                  80 clk=0 sw1=0 sw2=0 sw3=1 next_st=10 st=01 cnt=  6 dsp=  0
                  85 clk=1 sw1=0 sw2=0 sw3=1 next_st=10 st=10 cnt=  7 dsp=  0
